concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";253417,00;1,00;253417,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";1095,00;1,50;1642,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";82,00;2,00;164,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 2";"Comercial";24527,00;2,00;49054,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 4";"Comercial";44053,00;3,00;132159,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 6";"Comercial";11801,00;4,00;47204,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 7";"Comercial";29766,00;5,00;148830,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 8";"Comercial";29414,00;6,00;176484,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Outros";"Comercial";10845,00;6,00;65070,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 9";"Moto";5183,00;0,50;2591,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 1";"Passeio";199121,00;1,00;199121,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 3";"Passeio";900,00;1,50;1350,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"3 (Cambuí)";"N/I";"Categoria 5";"Passeio";75,00;2,00;150,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";19414,00;2,00;38828,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";45202,00;3,00;135606,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";12438,00;4,00;49752,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 7";"Comercial";29210,00;5,00;146050,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 8";"Comercial";32961,00;6,00;197766,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Outros";"Comercial";11755,00;6,00;70530,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 9";"Moto";2683,00;0,50;1341,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 1";"Passeio";194709,00;1,00;194709,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 3";"Passeio";1143,00;1,50;1714,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"4 (São Gonçalo)";"N/I";"Categoria 5";"Passeio";97,00;2,00;194,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 2";"Comercial";19986,00;2,00;39972,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 4";"Comercial";46930,00;3,00;140790,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 6";"Comercial";12422,00;4,00;49688,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 7";"Comercial";29633,00;5,00;148165,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 8";"Comercial";32113,00;6,00;192678,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Outros";"Comercial";11513,00;6,00;69078,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 9";"Moto";2257,00;0,50;1128,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 1";"Passeio";148433,00;1,00;148433,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 3";"Passeio";993,00;1,50;1489,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"4 (São Gonçalo)";"N/I";"Categoria 5";"Passeio";92,00;2,00;184,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 2";"Comercial";17223,00;2,00;34446,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 4";"Comercial";44906,00;3,00;134718,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 6";"Comercial";12490,00;4,00;49960,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 7";"Comercial";27881,00;5,00;139405,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 8";"Comercial";33851,00;6,00;203106,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Outros";"Comercial";11395,00;6,00;68370,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 9";"Moto";2249,00;0,50;1124,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 1";"Passeio";177721,00;1,00;177721,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 3";"Passeio";1147,00;1,50;1720,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"5 (Carmo da Cachoeira)";"N/I";"Categoria 5";"Passeio";102,00;2,00;204,00
